base,prime_factors,radical,phi_over_b,candidate_count_exact,candidate_density_exact,relative_candidate_sites_vs_odd,kl_from_uniform_bits,normalized_entropy,reduced_chi2,max_prime_rate_lift,min_prime_rate_lift,lift_cv,excess_transition_js,excess_internal_js,excess_digit_sum_js
2,2,2,0.5,49999999,0.499999995,0.99999999,0.0,1.0,0.0,1.0,1.0,0.0,0.0003395648631176,-2.439144031394099e-07,0.0067372263722448
3,3,3,0.6666666666666666,66666666,0.6666666666666666,1.3333333333333333,3.8333540786084094e-09,0.999999996166646,0.0306172715499997,1.000072898264917,0.9999271017350828,7.28982649170762e-05,0.0004440043366816,-1.928561692275597e-06,0.3383124804273777
4,2,2,0.5,49999999,0.499999995,0.99999999,4.322650015708973e-09,0.99999999567735,0.0345253124833107,1.0000773910131018,0.9999226089838024,7.739101464977238e-05,0.0013906279011816,-8.48159688140494e-07,0.2074009215910831
5,5,5,0.8,79999999,0.799999998,1.599999996,5.699050564800245e-09,0.9999999971504748,0.0151727904255191,1.0000919781664837,0.999908021833516,9.197816651682426e-05,0.000484041549741,-1.4691347991687253e-06,0.3367271134996678
6,2*3,6,0.3333333333333333,33333332,0.33333332333333325,0.6666666466666664,3.815123106321039e-09,0.9999999961848768,0.030471653678219,1.0000727247103325,0.9999272752896676,7.272471033248907e-05,0.0045880378278304,-5.342280269889701e-06,0.1167778922797611
7,7,7,0.8571428571428571,85714285,0.8571428585714286,1.7142857171428572,1.1743128868662305e-08,0.9999999958130473,0.031262751012826,1.000189114243247,0.9997929804500824,0.0001275736160181,0.0004640248282801,-1.1124953872612554e-05,0.5020890184673181
8,2,2,0.5,49999999,0.499999995,0.99999999,1.53388618428907e-08,0.999999994886216,0.0245579492041637,1.0002507923042263,0.9998149251772216,0.0001458306313099,0.0033889591604767,-1.3360125850469827e-05,0.0804377578285899
9,3,3,0.6666666666666666,66666666,0.6666666666666666,1.3333333333333333,2.552084649030562e-08,0.9999999919475835,0.0408554229580131,1.0003972505118785,0.9996954638363532,0.0001880780335236,0.0019290927658268,-2.238031795227749e-05,0.3358966408782728
10,2*5,10,0.4,39999999,0.39999999399999994,0.7999999879999998,5.676082937000615e-09,0.9999999971620351,0.0151116394747929,1.0000914449789509,0.9998769157676554,8.869271214698164e-05,0.0061918457308804,-2.2878612512613296e-05,0.2057038402528078
11,11,11,0.9090909090909091,90909090,0.909090899090909,1.818181798181818,4.4123573454961225e-08,0.9999999867186401,0.0421916601782078,1.000504662310183,0.9995650363416746,0.0002473315153837,0.0004522598530485,-2.6931252963900777e-05,0.4292914271344457
