base_wheel_q0,Q,R_observed,R_mc_mean,R_mc_sd,R_error_z,lag1_observed,lag1_mc_mean,lag1_mc_sd,lag1_error_z,runs_observed,runs_mc_mean,runs_mc_sd,runs_error_z,balance_R_lag1,balance_R_lag1_runs,R_p,lag1_p,runs_p
7,7919,0.3803323821034136,0.4100974858172181,0.0289706324497301,1.027423331729222,-0.1236910986203923,-0.0861478062546774,0.0433823432897742,0.8654048979084163,256.0,238.17125,9.349930477678528,-1.9068323601510535,1.3433258502334613,2.3324952282104867,,,
17,7919,0.4178329777144268,0.4517257476225167,0.0308214147162345,1.0996500394330548,-0.1236695970565429,-0.0856604479582526,0.0467444577474183,0.813126324059018,256.0,238.0925,10.710267552157532,-1.6719937119024275,1.367627371802294,2.1600850910888,,,
29,7919,0.4478701299490362,0.4794010500349223,0.0314526860456817,1.0024873564086303,-0.1236605920348701,-0.0749118995977456,0.0466805885808517,1.0443032943488035,256.0,235.92888888888888,10.484134360609431,-1.914427116321734,1.4476015578697503,2.400121133204505,0.3096559378468368,0.3263041065482797,0.0566037735849056
47,7919,0.4866327620864868,0.519132448607079,0.0341383683833411,0.9519988230149647,-0.1236678189608173,-0.0830307354785556,0.0463366807096942,0.8769959966890742,256.0,236.7255555555556,10.545373768737782,-1.8277630425565727,1.2943816041765044,2.2396744131605826,,,
71,7919,0.5181166105380851,0.5520071224362736,0.0355065762369247,0.9544854922662008,-0.1236590708256487,-0.0812648464225454,0.0448011512071189,0.9462753358080406,256.0,237.60555555555555,10.16783365233518,-1.809081961153044,1.344053408948198,2.253720725439293,,,
97,7919,0.5461958159670286,0.5725678053957414,0.0379654343232928,0.6946315747146036,-0.1236687027678736,-0.0654091786854767,0.0434742426329246,1.3400929045345782,256.0,234.51666666666668,10.464829163922392,-2.052908174306116,1.5094243993570569,2.5480961499730115,0.4829308909242298,0.1790174854288093,0.0457951706910907
181,7919,0.623280388075085,0.6210063915855566,0.0419809723578043,-0.0541673134711392,-0.1236291676508407,-0.0664497634334723,0.0422660920132767,1.3528434140399588,256.0,235.23444444444445,10.17748678098431,-2.040342179009661,1.3539273986296207,2.4486967162566016,,,
199,7919,0.6386597483206348,0.6394290218578784,0.0436244139769492,0.0176340142391398,-0.1237218326914022,-0.0657013470315046,0.041401934557776,1.4013955212390043,256.0,234.92333333333332,9.916206776834294,-2.1254767211898837,1.40150646284879,2.5459520140267813,,,
251,7919,0.6668311316396729,0.6460785726293636,0.0456286609310861,-0.454814114349142,-0.1237069690819751,-0.0680984442913641,0.0457387871134457,1.2157848578862684,256.0,235.01583333333332,10.635781550025936,-1.9729783437133004,1.2980711456914558,2.361701133513385,0.6519567027477102,0.2381348875936719,0.0541215653621981
997,7919,0.98942406254616,0.7580521242236296,,-4.606508155615325,-0.124266513277359,-0.0508244929386208,,1.5890532793177317,256.0,232.354,,-2.2689816531707736,4.872884947570683,5.375247478459621,,,
