base_wheel_q0,Q,simulations,R_observed,R_mc_mean,R_mc_sd,R_error_z,lag1_observed,lag1_mc_mean,lag1_mc_sd,lag1_error_z,runs_observed,runs_mc_mean,runs_mc_sd,runs_error_z,balance_R_lag1,balance_R_lag1_runs,base_survivors_total,tail_prime_count,tail_survival_product,theta_max
2,7919,100,0.3215014271794824,0.3357952777475156,0.0240902930459423,0.5933448190428244,-0.1237282143034226,-0.0553044022046768,0.0399120485448752,1.7143648244918646,256,233.53,10.388858639830644,-2.1628939981770987,1.8141402442314052,2.8229798570111155,23414214,999,0.1249331858933325,0.9650156685174586
3,7919,100,0.3438968416053327,0.3734348669611385,0.0234652923625503,1.2587963916847364,-0.1237140166997324,-0.0698290215949408,0.0447860891118325,1.20316366473167,256,237.05,9.322910847297996,-2.032626967090665,1.741313056244929,2.676517055277857,15609326,998,0.1873997788399986,0.9650759631546678
5,7919,100,0.3628566765809334,0.4088880315641608,0.027041794804971,1.702230022645005,-0.1237021175158814,-0.090695682045342,0.0521579054567153,0.63281750257266,256,235.69,10.77379443207668,-1.8851297124744928,1.8160520481407767,2.6175864979806254,12487371,997,0.2342497235499979,0.965075963154669
7,7919,100,0.3803323821034136,0.4126287548635413,0.0188312716204367,1.7150393988836032,-0.1236910986203923,-0.1118277569459846,0.0396786811079002,0.2989852823521814,256,239.98,9.341965704942575,-1.7148425187992578,1.7409056088100368,2.443652430905023,10703397,996,0.2732913441416644,0.965151342047362
11,7919,100,0.3936029277638372,0.4436479203517003,0.0246456050541115,2.030584864034989,-0.1236829262297748,-0.0636670665484297,0.0382530384883689,1.568917452128495,256,233.84,8.465879228474211,-2.617566280117352,2.566082006024235,3.665573637570081,9730320,995,0.3006204785558307,0.9649930599708226
17,7919,100,0.4178329777144268,0.4442273886057761,0.0235756552528237,1.1195621334082706,-0.1236695970565429,-0.0949240303739844,0.054573487109022,0.5267313526279381,256,239.03,10.177669158257672,-1.667375873210749,1.2372814103521217,2.076296604767306,8453432,993,0.3460266966710338,0.9655131675350151
29,7919,100,0.4478701299490362,0.4835055607253358,0.034367533367837,1.0368923016642568,-0.1236605920348701,-0.0786571990911326,0.0402769290215124,1.1173491633312111,256,236.35,8.497622959369046,-2.3124113759760214,1.524340774908143,2.769631955655999,7396101,990,0.3954902892236677,0.9654784190093252
47,7919,100,0.4866327620864868,0.5014495205770948,0.0311855875721057,0.4751155788342731,-0.1236678189608173,-0.0695096812377335,0.0504960670834154,1.0725218982622735,256,234.76,10.163432173008957,-2.089845205678365,1.1730464762758284,2.3965581610301023,6495132,985,0.4503586863198353,0.9658512526985956
71,7919,100,0.5181166105380851,0.5263962469042993,0.0297948060477101,0.27788858074646,-0.1236590708256487,-0.0725432826302638,0.0483848271843702,1.056442508322049,256,236.85,9.835387561496928,-1.9470508793133323,1.092379438061274,2.232554582386259,5984139,980,0.4887928541654238,0.966501777331566
97,7919,100,0.5461958159670286,0.5616873271251568,0.0352747988912587,0.4391665337592346,-0.1236687027678736,-0.0558079022318984,0.0529367541637684,1.281922203353021,256,234.65,9.328326579171463,-2.2887277604185563,1.3550615409727949,2.6597869352890102,5632144,975,0.5191821782229988,0.9670459103140626
107,7919,100,0.5615794834118287,0.5502399773664435,0.0483528888357085,-0.2345155856956997,-0.1236887179013144,-0.0480068140091488,0.0362486057772188,2.087856960824942,256,234.13,9.583924882928503,-2.281946099030496,2.100986494197276,3.101841750908621,5469424,972,0.5345103453623405,0.9668742277895148
127,7919,100,0.5764920748126343,0.6014675764555303,0.0392539486241642,0.6362545047893946,-0.1236638397713718,-0.0745781001920474,0.0334037800620339,1.4694666139032029,256,235.36,10.89297799947148,-1.8947986492767568,1.6012969506749657,2.480809111064768,5328115,969,0.5485957697718173,0.9666011045590396
139,7919,100,0.5901008549333544,0.6022309458414535,0.027046728682072,0.4484864343738388,-0.1236929462105899,-0.0756623243067182,0.0318485307173086,1.508095375896527,256,236.19,8.144769654647867,-2.4322357586497607,1.5733695511919146,2.8967676003215077,5210753,966,0.5609159251972184,0.9670648722157088
151,7919,100,0.5986823430721904,0.5882575992616026,0.0288639627186499,-0.3611681428569754,-0.1236713613516237,-0.0489941421715403,0.0331340185690343,2.253793002031866,256,231.74,10.158958826791476,-2.3880399963843613,2.282547989292354,3.303446737538535,5141622,964,0.5684706036491988,0.9691057831594568
173,7919,100,0.615295395559924,0.6071201287734052,0.0322056393335823,-0.2538458156921004,-0.123598925306323,-0.0764759087376495,0.0304906192921903,1.5454922747581985,256,236.99,9.189909925806912,-2.0685730495155896,1.5662005202022051,2.594605659953721,5018899,960,0.5824809078332419,0.9676362740942932
181,7919,100,0.623280388075085,0.6043678087827651,0.0402421410188947,-0.4699695099085303,-0.1236291676508407,-0.0745758472054718,0.0443446659626773,1.10618310862133,256,234.76,12.178072694209646,-1.7441183455982383,1.2018787002201234,2.118126817141776,4964080,958,0.5890074573311247,0.967361573435476
199,7919,100,0.6386597483206348,0.6431612845146525,0.0451176368088897,0.0997733151025934,-0.1237218326914022,-0.0819309156672715,0.0458735057782553,0.9110033409293126,256,237.43,10.169527665004551,-1.8260435107427069,0.9164506542039952,2.0431144619713506,4865328,954,0.6012494344980369,0.9671762242014408
223,7919,100,0.6459375403460563,0.6366323296829566,0.0492347574585367,-0.1889967807993403,-0.1236810312613126,-0.0650084077723784,0.049083160044407,1.1953717616357893,256,233.19,11.65037390478143,-1.9578770764291564,1.2102204062354776,2.301720243225824,4822047,952,0.6068337546425572,0.9662059220307386
229,7919,100,0.6530120104567412,0.6489319340116023,0.0471477143604137,-0.0865381599190433,-0.1237017121048333,-0.0338936417225269,0.0404796642056836,2.2185972177530253,256,229.73,9.779234854702814,-2.6863042344633765,2.2202843213749985,3.485095824771466,4781482,950,0.6121921880838395,0.9662795121428266
239,7919,100,0.6600219169493658,0.6467818064109033,0.0389163464737757,-0.3402197723618415,-0.123699075073688,-0.0630056306716708,0.0469669931270544,1.2922573995280076,256,231.61,11.26350592207265,-2.1654003796636587,1.3362928871100197,2.544530896725042,4742877,948,0.6174142708241233,0.9668293623744664
251,7919,100,0.6668311316396729,0.6828757766423484,0.0428120519090187,0.3747693531899041,-0.1237069690819751,-0.1056389056293559,0.0401126047212018,0.4504335626718628,256,240.99,10.963202916201915,-1.3691254384991394,0.5859543177344512,1.4892437439241122,4706394,946,0.6224667776070322,0.9655323880998142
277,7919,100,0.683154440130198,0.6241616717507933,0.0554315434720615,-1.0642454581683825,-0.1237384704532538,-0.0643005840898173,0.0511533616378052,1.161954648929826,256,235.24,11.400088605007427,-1.8210384777958015,1.5756766804778402,2.4080984487795587,4624583,941,0.6342456423395404,0.9623669610760908
397,7919,100,0.7386010434918991,0.6903187727681289,0.0490228354007178,-0.9848934752367108,-0.1238662397110935,-0.0566918351068592,0.0376705499398425,1.783207431574733,256,232.63,8.727820374231385,-2.677644474558527,2.037116565537476,3.3644648658770406,4390253,922,0.6711197703790256,0.9614242010377008
499,7919,100,0.7855352655065563,0.6786562247616027,0.0364663133834337,-2.930897884333644,-0.1239957708905776,-0.0271727360399188,0.0393600289813157,2.4599330172399223,256,229.47,10.202450685987166,-2.600355622050529,3.826412531039817,4.626368145622258,4233426,905,0.6970960430391964,0.9616445186228786
631,7919,100,0.8401550470800768,0.7319382937888267,0.0453278919422519,-2.387420827536369,-0.124105146384723,-0.0717115640995272,0.037456288588415,1.3987926796730412,256,236.9,9.70004686024295,-1.9690626524995585,2.7670199074927755,3.396116443517496,4085256,885,0.7220189440529198,0.9697021079209536
797,7919,100,0.9063994817487516,0.745518923978952,0.0513722974212255,-3.131659782521781,-0.1242275205409305,-0.04791039575846,0.0358998934090861,2.125831514673933,256,230.9,8.789916169260447,-2.855544867171562,3.785030068869366,4.741369961379843,3939472,861,0.7468952224947806,0.9780833223412506
997,7919,100,0.98942406254616,0.7718212342102895,0.0506365225895482,-4.29734936776218,-0.124266513277359,-0.0580266534892466,0.0370414183875887,1.7882646688904054,256,234.68,10.172134644818817,-2.0959219224314287,4.654578618372207,5.104702814027118,3796899,832,0.7715233699126673,0.9818887247841678
