الترتيب_n,p_n,p_n^2,p_التالي,p_التالي^2,فهرس_أول_أولي_بين_p_و_p2,فهرس_آخر_أولي_بين_p_و_p2,عدد_الأوليات_بين_p_و_p2,أول_أولي_بين_p_و_p2,آخر_أولي_بين_p_و_p2,فهرس_أول_أولي_بين_p2_ومربع_التالي,فهرس_آخر_أولي_بين_p2_ومربع_التالي,عدد_الأوليات_بين_p2_ومربع_التالي,أول_أولي_بين_p2_ومربع_التالي,آخر_أولي_بين_p2_ومربع_التالي
1,2,4,3,9,2,2,1,3,3,3,4,2,5,7
2,3,9,5,25,3,4,2,5,7,5,9,5,11,23
3,5,25,7,49,4,9,6,7,23,10,15,6,29,47
4,7,49,11,121,5,15,11,11,47,16,30,15,53,113
5,11,121,13,169,6,30,25,13,113,31,39,9,127,167
6,13,169,17,289,7,39,33,17,167,40,61,22,173,283
7,17,289,19,361,8,61,54,19,283,62,72,11,293,359
8,19,361,23,529,9,72,64,23,359,73,99,27,367,523
9,23,529,29,841,10,99,90,29,523,100,146,47,541,839
10,29,841,31,961,11,146,136,31,839,147,162,16,853,953
11,31,961,37,1369,12,162,151,37,953,163,219,57,967,1367
12,37,1369,41,1681,13,219,207,41,1367,220,263,44,1373,1669
13,41,1681,43,1849,14,263,250,43,1669,264,283,20,1693,1847
14,43,1849,47,2209,15,283,269,47,1847,284,329,46,1861,2207
15,47,2209,53,2809,16,329,314,53,2207,330,409,80,2213,2803
16,53,2809,59,3481,17,409,393,59,2803,410,487,78,2819,3469
17,59,3481,61,3721,18,487,470,61,3469,488,519,32,3491,3719
18,61,3721,67,4489,19,519,501,67,3719,520,609,90,3727,4483
19,67,4489,71,5041,20,609,590,71,4483,610,675,66,4493,5039
20,71,5041,73,5329,21,675,655,73,5039,676,705,30,5051,5323
21,73,5329,79,6241,22,705,684,79,5323,706,811,106,5333,6229
22,79,6241,83,6889,23,811,789,83,6229,812,886,75,6247,6883
23,83,6889,89,7921,24,886,863,89,6883,887,1000,114,6899,7919
24,89,7921,97,9409,25,1000,976,97,7919,1001,1163,163,7927,9403
25,97,9409,101,10201,26,1163,1138,101,9403,1164,1252,89,9413,10193
26,101,10201,103,10609,27,1252,1226,103,10193,1253,1294,42,10211,10607
27,103,10609,107,11449,28,1294,1267,107,10607,1295,1381,87,10613,11447
28,107,11449,109,11881,29,1381,1353,109,11447,1382,1423,42,11467,11867
29,109,11881,113,12769,30,1423,1394,113,11867,1424,1523,100,11887,12763
30,113,12769,127,16129,31,1523,1493,127,12763,1524,1877,354,12781,16127
31,127,16129,131,17161,32,1877,1846,131,16127,1878,1976,99,16139,17159
32,131,17161,137,18769,33,1976,1944,137,17159,1977,2141,165,17167,18757
33,137,18769,139,19321,34,2141,2108,139,18757,2142,2190,49,18773,19319
34,139,19321,149,22201,35,2190,2156,149,19319,2191,2489,299,19333,22193
35,149,22201,151,22801,36,2489,2454,151,22193,2490,2547,58,22229,22787
36,151,22801,157,24649,37,2547,2511,157,22787,2548,2729,182,22807,24631
37,157,24649,163,26569,38,2729,2692,163,24631,2730,2915,186,24659,26561
38,163,26569,167,27889,39,2915,2877,167,26561,2916,3043,128,26573,27883
