الترتيب,p,p^2,p^2 + 1,المكونات الأساسية لـ p² + 1,p² + 2,المكونات الأساسية لـ p² + 2
1,2,4,5,(5),6,(2، 3)
2,3,9,10,(2، 5),11,(11)
3,5,25,26,(2، 13),27,(3)
4,7,49,50,(2، 5),51,(3، 17)
5,11,121,122,(2، 61),123,(3، 41)
6,13,169,170,(2، 5، 17),171,(3، 19)
7,17,289,290,(2، 5، 29),291,(3، 97)
8,19,361,362,(2، 181),363,(3، 11)
9,23,529,530,(2، 5، 53),531,(3، 59)
10,29,841,842,(2، 421),843,(3، 281)
11,31,961,962,(2، 13، 37),963,(3، 107)
12,37,1369,1370,(2، 5، 137),1371,(3، 457)
13,41,1681,1682,(2، 29),1683,(3، 11، 17)
14,43,1849,1850,(2، 5، 37),1851,(3، 617)
15,47,2209,2210,(2، 5، 13، 17),2211,(3، 11، 67)
16,53,2809,2810,(2، 5، 281),2811,(3، 937)
17,59,3481,3482,(2، 1741),3483,(3، 43)
18,61,3721,3722,(2، 1861),3723,(3، 17، 73)
19,67,4489,4490,(2، 5، 449),4491,(3، 499)
20,71,5041,5042,(2، 2521),5043,(3، 41)
21,73,5329,5330,(2، 5، 13، 41),5331,(3، 1777)
22,79,6241,6242,(2، 3121),6243,(3، 2081)
23,83,6889,6890,(2، 5، 13، 53),6891,(3، 2297)
24,89,7921,7922,(2، 17، 233),7923,(3، 19، 139)
25,97,9409,9410,(2، 5، 941),9411,(3، 3137)
26,101,10201,10202,(2، 5101),10203,(3، 19، 179)
27,103,10609,10610,(2، 5، 1061),10611,(3، 131)
28,107,11449,11450,(2، 5، 229),11451,(3، 11، 347)
29,109,11881,11882,(2، 13، 457),11883,(3، 17، 233)
30,113,12769,12770,(2، 5، 1277),12771,(3، 11، 43)
31,127,16129,16130,(2، 5، 1613),16131,(3، 19، 283)
32,131,17161,17162,(2، 8581),17163,(3، 1907)
33,137,18769,18770,(2، 5، 1877),18771,(3، 6257)
34,139,19321,19322,(2، 9661),19323,(3، 19، 113)
35,149,22201,22202,(2، 17، 653),22203,(3، 2467)
36,151,22801,22802,(2، 13، 877),22803,(3، 11، 691)
37,157,24649,24650,(2، 5، 17، 29),24651,(3، 11، 83)
38,163,26569,26570,(2، 5، 2657),26571,(3، 17، 521)
39,167,27889,27890,(2، 5، 2789),27891,(3، 1033)
40,173,29929,29930,(2، 5، 41، 73),29931,(3، 11، 907)
41,179,32041,32042,(2، 37، 433),32043,(3، 11، 971)
42,181,32761,32762,(2، 16381),32763,(3، 67، 163)
43,191,36481,36482,(2، 17، 29، 37),36483,(3، 12161)
44,193,37249,37250,(2، 5، 149),37251,(3، 4139)
45,197,38809,38810,(2، 5، 3881),38811,(3، 17، 761)
46,199,39601,39602,(2، 19801),39603,(3، 43، 307)
47,211,44521,44522,(2، 113، 197),44523,(3، 17، 97)
48,223,49729,49730,(2، 5، 4973),49731,(3، 11، 137)
49,227,51529,51530,(2، 5، 5153),51531,(3، 89، 193)
50,229,52441,52442,(2، 13، 2017),52443,(3، 5827)
51,233,54289,54290,(2، 5، 61، 89),54291,(3، 18097)
52,239,57121,57122,(2، 13),57123,(3، 11، 577)
53,241,58081,58082,(2، 113، 257),58083,(3، 19، 1019)
54,251,63001,63002,(2، 17، 109),63003,(3، 21001)
55,257,66049,66050,(2، 5، 1321),66051,(3، 41، 179)
56,263,69169,69170,(2، 5، 6917),69171,(3، 23057)
57,269,72361,72362,(2، 97، 373),72363,(3، 24121)
58,271,73441,73442,(2، 36721),73443,(3، 24481)
59,277,76729,76730,(2، 5، 7673),76731,(3، 25577)
60,281,78961,78962,(2، 13، 3037),78963,(3، 26321)
61,283,80089,80090,(2، 5، 8009),80091,(3، 11، 809)
62,293,85849,85850,(2، 5، 17، 101),85851,(3، 9539)
63,307,94249,94250,(2، 5، 13، 29),94251,(3، 89، 353)
64,311,96721,96722,(2، 137، 353),96723,(3، 11، 977)
65,313,97969,97970,(2، 5، 97، 101),97971,(3، 17، 113)
66,317,100489,100490,(2، 5، 13، 773),100491,(3، 19، 41، 43)
67,331,109561,109562,(2، 29، 1889),109563,(3، 59، 619)
68,337,113569,113570,(2، 5، 41، 277),113571,(3، 12619)
69,347,120409,120410,(2، 5، 12041),120411,(3، 17، 787)
70,349,121801,121802,(2، 60901),121803,(3، 11، 3691)
71,353,124609,124610,(2، 5، 17، 733),124611,(3، 73، 569)
72,359,128881,128882,(2، 13، 4957),128883,(3، 42961)
73,367,134689,134690,(2، 5، 13469),134691,(3، 17، 19، 139)
74,373,139129,139130,(2، 5، 13913),139131,(3، 5153)
75,379,143641,143642,(2، 71821),143643,(3، 47881)
76,383,146689,146690,(2، 5، 14669),146691,(3، 1811)
77,389,151321,151322,(2، 29، 2609),151323,(3، 50441)
78,397,157609,157610,(2، 5، 15761),157611,(3، 107، 491)
79,401,160801,160802,(2، 37، 41، 53),160803,(3، 17، 1051)
80,409,167281,167282,(2، 83641),167283,(3، 18587)
81,419,175561,175562,(2، 41، 2141),175563,(3، 19507)
82,421,177241,177242,(2، 13، 17، 401),177243,(3، 11، 41، 131)
83,431,185761,185762,(2، 293، 317),185763,(3، 19، 3259)
84,433,187489,187490,(2، 5، 18749),187491,(3، 62497)
