delta,lag_in_interval_units,empirical_corr_mean,empirical_corr_min,empirical_corr_max,leung_leading_prediction,leung_secondary_prediction,Delta_d
0.001,1,-0.1409859787463996,-0.1429869420229558,-0.13993334359389914,-0.10034333188799373,-0.1261951147633894,0.6931471805599453
0.001,2,-0.054644491151004185,-0.05568239746667029,-0.05360658483533808,-0.03787396358384377,-0.04763155748448365,0.261624071882274
0.001,3,-0.038160235744405566,-0.038160235744405566,-0.038160235744405566,-0.024595404720306198,-0.030931999794422092,0.1698990367953973
0.002,1,-0.16959337937400812,-0.17118741781949198,-0.16821799681364427,-0.11153513939775646,-0.1444202440333325,0.6931471805599453
0.002,2,-0.071942649715486,-0.07299685373765157,-0.07088844569332044,-0.04209824139171334,-0.05451051864008049,0.261624071882274
0.002,3,-0.021932893929676976,-0.021932893929676976,-0.021932893929676976,-0.027338656614329788,-0.03539920675317152,0.1698990367953973
0.004,1,-0.20183822207926908,-0.20453788271527087,-0.19890618924777154,-0.1255369169267456,-0.16879810798019743,0.6931471805599453
0.004,2,-0.016317977861670316,-0.017541583821030455,-0.015094371902310173,-0.04738312482406693,-0.06371179105154536,0.261624071882274
0.004,3,0.03902095236780494,0.03902095236780494,0.03902095236780494,-0.030770667278611732,-0.0413745258771067,0.1698990367953973
0.008,1,-0.12206250419449079,-0.1254210422346566,-0.12012663264674582,-0.143558852691131,-0.20307714599881582,0.6931471805599453
0.008,2,-0.00017772191952333317,-0.0026647405952622645,0.002309296756215598,-0.054185391860730625,-0.07665019974476607,0.261624071882274
0.008,3,-0.03136405732656408,-0.03136405732656408,-0.03136405732656408,-0.03518806896966975,-0.049776746509283674,0.1698990367953973
