delta,ordering,empirical_frequency,gaussian_theory_frequency,difference
0.001,012,0.162375,0.1601075,0.0022675
0.001,021,0.17325,0.170195,0.003055
0.001,102,0.173125,0.1697225,0.0034025
0.001,120,0.166125,0.16946,-0.003335
0.001,201,0.16575,0.170605,-0.004855
0.001,210,0.159375,0.15991,-0.000535
0.002,012,0.1525,0.1599375,-0.0074375
0.002,021,0.1735,0.17079,0.00271
0.002,102,0.16875,0.16925,-0.0005
0.002,120,0.175125,0.170725,0.0044
0.002,201,0.17075,0.1707775,-0.0000275
0.002,210,0.159375,0.15852,0.000855
0.004,012,0.156625,0.1582175,-0.0015925
0.004,021,0.165375,0.1711975,-0.0058225
0.004,102,0.171875,0.1718575,0.0000175
0.004,120,0.17425,0.170315,0.003935
0.004,201,0.179125,0.1704,0.008725
0.004,210,0.15275,0.1580125,-0.0052625
0.008,012,0.161,0.15675,0.00425
0.008,021,0.1725,0.16991,0.00259
0.008,102,0.174875,0.172745,0.00213
0.008,120,0.174,0.1716375,0.0023625
0.008,201,0.17275,0.1723375,0.0004125
0.008,210,0.144875,0.15662,-0.011745
