lag,Delta_normalized,observed_rho,short_interval_theory_rho,local_multiscale_rho_mean,local_multiscale_rho_sd,observed_z_vs_model,two_sided_p_observed_rho
1,1.0,-0.12369109862039233,-0.10875264548135335,-0.11668101013594458,0.04570964490775106,-0.1533612544703677,0.87518573551263
2,0.3774437510817344,-0.08177720152201445,-0.0443832998992698,-0.03375420889922685,0.04350524827271358,-1.1038436632232151,0.2912332838038633
3,0.24511249783653122,-0.04363815013726117,-0.027538929061948242,-0.02732010399646745,0.045087413385118576,-0.36192021044568523,0.725111441307578
4,0.1822639883001403,0.035877564646000504,-0.020648510247937374,-0.007624739510327332,0.0426478950471857,1.0200340276629554,0.31054977711738485
5,0.14524702772665748,-0.0042601229316344726,-0.01605180729282813,-0.017616886347615567,0.04899205695618036,0.2726312028075836,0.8083209509658247
6,0.12078746009308156,0.014550264572407354,-0.013194974334653,-0.015497360410730415,0.040545535678478406,0.7410834381721355,0.462109955423477
7,0.10340304776024027,0.029002523389573237,-0.011255651258498162,-0.013518501042939305,0.043829140171493516,0.9701542002908884,0.3328380386329866
8,0.09040473369202179,0.0051605476675883125,-0.00999104629324476,-0.010093607938675603,0.05218182434830658,0.29232698926822687,0.8157503714710252
9,0.08031546145600185,-0.011692064974248326,-0.008733948844121337,0.011758419014533741,0.051439931304186864,-0.4558809351845568,0.649331352154532
10,0.07225546012191131,-0.012812958292363601,-0.0078939293702176,-0.010066832500379324,0.049738190953594746,-0.05521161383907963,0.9539375928677564
11,0.0656676737534841,0.042344838227129124,-0.007014592696817901,-0.004878792700789031,0.04326478603902908,1.0915027034992801,0.2852897473997028
12,0.060182061768357144,-0.03326530141344774,-0.006553835321953016,-0.011826250535904545,0.049898816871375616,-0.4296504851569271,0.6389301634472511
13,0.05554312289596472,-0.04339274606172354,-0.006010606004248045,0.0021072003062851197,0.04086994315950941,-1.1132862649313953,0.26300148588410105
14,0.051568726174536623,-0.005823272116838061,-0.005599352235531022,-0.012434594376161382,0.04486227874227773,0.1473692920795145,0.9004457652303121
15,0.04812552027544769,-0.0027333011255363747,-0.005144526846951645,0.0015924855861092877,0.04960015218758876,-0.08721317417102777,0.9078751857355126
16,0.045113617691778705,-0.024456589875628428,-0.004910842391648598,0.00015270346994725886,0.04863164716367885,-0.5060345429540672,0.6404160475482912
17,0.04245671172503334,-0.05078505460074586,-0.00458389603315348,0.006890674678050008,0.04322722263147244,-1.334245546388722,0.1827637444279346
18,0.04009550238032558,0.08879028727041824,-0.004283341058127812,-0.017227689699160456,0.042112385699548505,2.5175010916257667,0.017830609212481426
19,0.03798320642631407,0.0016214324964288207,-0.004091562808043339,-0.008624400898809517,0.052831661236615625,0.19393358367723137,0.8573551263001485
20,0.03608241914379952,-0.12050326800350657,-0.0038810542221540223,-0.005909909839484258,0.04546155719353773,-2.5206650462098894,0.017830609212481426
