Lcells,L/H,var,rho1_basis,rho2_basis,H
2,0.0512,0.00043776000000000004,-0.498043007781922,0.0,40000
4,0.1024,0.0017484800000000002,-0.4995100356232924,0.0,40000
8,0.2048,0.00699136,-0.49950841461551104,0.0,40000
16,0.4096,0.027962880000000002,-0.49950800917806176,0.0,40000
32,0.8192,0.11184896000000005,-0.49950790780709986,0.0,40000
64,1.6384,0.39445927999999997,-0.43269133014485317,-0.06716971028176993,40000
128,3.2768,0.6952271199999991,0.13545505672502833,-0.4839788694600344,40000
256,6.5536,0.8467199199999988,0.6425573898536409,0.1006235922735821,40000
512,13.1072,0.9224247999999986,0.839505943858193,0.5923518101421386,40000
1024,26.2144,0.9617055999999985,0.9231466215758245,0.8046220421400518,40000
2048,52.4288,0.9818496999999984,0.9643537027111049,0.9093623421763463,40000
4096,104.8576,0.9910353999999983,0.985209966017264,0.9609958961919548,40000
2,0.0256,0.00011008,-0.4980772752243179,0.0,80000
4,0.0512,0.00043776000000000004,-0.4995165078049455,0.0,80000
8,0.1024,0.0017484800000000002,-0.49951003562329244,0.0,80000
16,0.2048,0.006991360000000001,-0.499508414615511,0.0,80000
32,0.4096,0.027962880000000013,-0.49950800917806165,0.0,80000
64,0.8192,0.11184895999999997,-0.4995079078070999,0.0,80000
128,1.6384,0.3944592800000001,-0.4326913301448533,-0.06716971028176988,80000
256,3.2768,0.6952271200000009,0.13545505672502797,-0.48397886946003416,80000
512,6.5536,0.8467199200000013,0.6425573898536407,0.10062359227358196,80000
1024,13.1072,0.9224248000000016,0.8395059438581927,0.5923518101421383,80000
2048,26.2144,0.9617056000000016,0.9231466215758244,0.8046220421400518,80000
4096,52.4288,0.9818497000000017,0.9643537027111047,0.9093623421763463,80000
