metric,value
synthetic_fixed_X_over_H_factor2_max_L1_difference,0.017419987916615254
prime_panels_fraction_L_over_H_lt_2_mean,0.753643371978939
prime_panels_fraction_L_over_H_lt_2_sd,0.024779411747034234
prime_panels_fraction_L_over_H_ge_8_mean,0.052339410227270546
prime_panels_fraction_L_over_H_ge_8_sd,0.013556582173475658
synthetic_transfer_steps8_factor2_max_kernel_rmse,0.0003555874598955332
synthetic_transfer_steps8_factor3_max_kernel_rmse,0.004241362102959277
synthetic_transfer_steps16_ratio500_factor3_kernel_rmse,0.0008637746654468726
prime_transfer_kernel_rmse_mean,0.0037081926685761696
prime_transfer_kernel_rmse_max,0.0061039868740078405
