lag,target_covariance,fitted_local_multiscale_covariance,absolute_error
0,1.0,1.0000415502813411,4.155028134111838e-05
1,-0.10875264548135335,-0.10844550912154123,0.00030713635981212406
2,-0.0443832998992698,-0.04411516233333215,0.0002681375659376456
3,-0.027538929061948242,-0.027039513693780513,0.0004994153681677285
4,-0.020648510247937374,-0.020692227705940806,4.371745800343246e-05
5,-0.01605180729282813,-0.01539956069090637,0.0006522466019217611
6,-0.013194974334653,-0.012075640136217846,0.0011193341984351533
7,-0.011255651258498162,-0.01000146000296473,0.001254191255533433
8,-0.00999104629324476,-0.008629923027715461,0.0013611232655292987
9,-0.008733948844121337,-0.0076958142761759645,0.0010381345679453726
10,-0.0078939293702176,-0.006953010854359339,0.0009409185158582613
11,-0.007014592696817901,-0.00622112689977261,0.000793465797045291
12,-0.006553835321953016,-0.005510496751810033,0.0010433385701429836
13,-0.006010606004248045,-0.0048540398356164745,0.0011565661686315709
14,-0.005599352235531022,-0.004236024591571888,0.0013633276439591335
15,-0.005144526846951645,-0.0036305115733947274,0.0015140152735569176
16,-0.004910842391648598,-0.0030664986948130716,0.0018443436968355268
17,-0.00458389603315348,-0.002565920590764953,0.0020179754423885264
18,-0.004283341058127812,-0.002120286429956699,0.002163054628171113
19,-0.004091562808043339,-0.0017175079308602793,0.0023740548771830593
20,-0.0038810542221540223,-0.0013702913362210619,0.0025107628859329604
