mode,panel_id,median_X,median_H,X_over_H,alpha_log,alpha_best,alpha_relative_error,rho1_pred,rho1_target,kernel_rmse_log,shape_rmse,kernel_rmse_best_scalar
uniform,X2e+07_off-128,11672569.0,44544.0,262.04581986350576,1.054675872459716,1.0490899770348088,-0.00529631479279018,-0.119134253148268,-0.11819768921971856,0.0002998219145678706,0.00222594488368539,0.0002507747389467344
uniform,X2e+07_off+0,20043595.0,56412.0,355.307292774587,1.0,1.0000000000000016,1.5543122344752192e-15,-0.1129581668256267,-0.11295816682562704,1.0505931359141929e-16,9.539603856145478e-16,9.646021880641978e-17
uniform,X2e+07_off+128,31069495.0,70020.0,443.72315052842043,0.9635421685528552,0.9709423453579408,0.0076801794945828535,-0.10883995701891955,-0.10979230136494036,0.0002832890307406259,0.0016739044828663447,0.00018126275693770995
uniform,X2e+08_off-128,166564855.0,161556.0,1031.0038314887718,0.8464599421293588,0.8649500249575219,0.02184401400218582,-0.09561456335425844,-0.09792791729484634,0.0005853383138348653,0.0022868220031538535,0.00021615860116227161
uniform,X2e+08_off+0,199812637.0,219264.0,911.2879314433742,0.861790846681437,0.8423559801794016,-0.022551720730006258,-0.09734631422823985,-0.09507032929115544,0.000600848216670675,0.0019552077957070866,0.0001846914251542588
uniform,X2e+08_off+128,235162291.0,237840.0,988.7415531449714,0.8515972023314354,0.8456935234893843,-0.006932477967152187,-0.09619485884919127,-0.09591634428065386,0.0003117946644107912,0.002898298885928405,0.00025894136177448526
uniform,X2e+09_off-128,1876882351.0,701952.0,2673.80440685403,0.7442391719687421,0.7356939052357737,-0.011481882511456012,-0.08406789254541146,-0.0831657964446913,0.00028776749507392014,0.0016954211498712924,0.0001400381850170218
uniform,X2e+09_off+0,2000549371.0,720192.0,2777.800046376522,0.7406578375386876,0.7295575613093418,-0.014987050250131225,-0.083663351573403,-0.08269212297123059,0.0003803762823394166,0.002521116043046243,0.00019504821621686128
uniform,X2e+09_off+128,2132500063.0,827364.0,2577.4629582626267,0.7477162816219778,0.7275782298098105,-0.026932744821983826,-0.08446066047769264,-0.08221258956743596,0.0006182238641020533,0.002150490860857824,0.0001766607528579803
uniform,X2e+10_off-128,19585442827.0,2790480.0,7018.664468836902,0.6631397204845576,0.6438033631375804,-0.029158798288915846,-0.07490704717519411,-0.07267122005185715,0.0006033782350794515,0.002774187844629999,0.00020115471824094113
uniform,X2e+10_off+0,19998768067.0,2824320.0,7080.914367706209,0.6624792036770086,0.6359443212040705,-0.040053910108663854,-0.07483243640745588,-0.07182085368413023,0.0008011141701119607,0.0025064799228884213,0.00017997926107626573
