lag,observed_rho,short_interval_theory_rho,normalized_u_point_model_rho_mean,normalized_u_point_model_rho_sd,observed_z_vs_model,two_sided_p_observed_rho
1,-0.12369109862039233,-0.1087526454813533,-0.10338100834014996,0.05873313357784111,-0.34580294023176356,0.7592867756315007
2,-0.08177720152201445,-0.0443832998992698,-0.03027207011184439,0.04511011035660584,-1.1417646953866907,0.25705794947994054
3,-0.04363815013726117,-0.0275389290619482,-0.02492111705771513,0.045257839456598156,-0.41356444108419044,0.6671619613670133
4,0.035877564646000504,-0.0206485102479373,-0.005882111509219502,0.04290429737815075,0.9733215250481262,0.34026745913818723
5,-0.0042601229316344726,-0.0160518072928281,-0.014277102299273385,0.048633374760139084,0.20596924266602687,0.8647845468053492
6,0.014550264572407354,-0.013194974334653,-0.014864185524475083,0.03934979770995808,0.7475121044761726,0.4606240713224368
7,0.029002523389573237,-0.0112556512584981,-0.012431683495275807,0.044631000790398896,0.9283727935978179,0.36701337295690933
8,0.0051605476675883125,-0.0099910462932447,-0.007361544541224654,0.05167442341747411,0.2423266943425347,0.7904903417533432
9,-0.011692064974248326,-0.0087339488441213,0.012200696354654943,0.047866448733713755,-0.4991546680603212,0.6344725111441307
10,-0.012812958292363601,-0.0078939293702176,-0.008831145446777168,0.05155622831496466,-0.07723243099283654,0.937592867756315
11,0.042344838227129124,-0.0070145926968179,-0.0059738253413339215,0.04402378589642491,1.0975581173809705,0.2867756315007429
12,-0.03326530141344774,-0.006553835321953,-0.011663592918172792,0.05188834841964788,-0.4163113522244102,0.6701337295690936
13,-0.04339274606172354,-0.006010606004248,0.002038244373569404,0.04213581149150868,-1.0782037612933673,0.28083209509658247
14,-0.005823272116838061,-0.005599352235531,-0.013294354850513631,0.047619303649402395,0.15689189385635482,0.8870728083209509
15,-0.0027333011255363747,-0.0051445268469516,0.0035903890185384505,0.0500448538534417,-0.12636044782134837,0.9078751857355126
16,-0.024456589875628428,-0.0049108423916485,-0.0005155168192685574,0.04903022080521577,-0.4882921729329241,0.6433878157503715
17,-0.05078505460074586,-0.0045838960331534,0.008584134816966571,0.041674965171739235,-1.424576821433604,0.15601783060921248
18,0.08879028727041824,-0.0042833410581278,-0.016691182180312673,0.04275117907477984,2.467334743358166,0.01337295690936107
19,0.0016214324964288207,-0.0040915628080433,-0.008167112105581992,0.05133855449725066,0.19066654092364482,0.8543833580980683
20,-0.12050326800350657,-0.003881054222154,-0.009711628831487077,0.044051549498099314,-2.5150452239324705,0.014858841010401188
