metric,value
reference_spectrum,uniform normalized-u spectrum frozen from X~2e7
training_raw_sieves,12
heldout_raw_sieves,28
heldout_simulations,672
amplitude_from_training_R_after_rounding,0.0027504595223260993
R_observed,0.38033238210341364
R_mc_mean,0.38393103467840056
R_mc_sd,0.04036171095291743
R_two_sided_p,0.9643387815750372
rho1_observed,-0.12369109862039233
rho1_mc_mean,-0.10338100834014996
rho1_mc_sd,0.05873313357784111
rho1_two_sided_p,0.7592867756315007
rho2_observed,-0.08177720152201445
rho2_mc_mean,-0.03027207011184439
kernel_rmse_vs_short_interval_theory,0.008749332720237028
normalized_Delta_shape_RMSE,0.07811730159220873
rho_kernel_global_RMS_p,0.3640416047548291
rho_kernel_global_max_p,0.17087667161961367
runs_observed,256
runs_mc_mean,242.61607142857142
runs_mc_sd,12.318243194254768
runs_two_sided_p,0.31054977711738485
monotone_triples_observed,145
monotone_triples_mc_mean,142.52678571428572
monotone_triples_mc_sd,10.041903104935654
monotone_triples_two_sided_p,0.8380386329866271
clip_fraction,0.0
