support_cells,support_intervals_u,coefficient_v,variance_contribution,variance_fraction
128,2.0,1.1477465978801376,0.717341623675086,0.7173416236750859
256,4.0,0.014804720667114623,0.014804720667114623,0.01480472066711462
267,4.171875,0.06214106355172034,0.0475288678140527,0.04752886781405269
318,4.96875,0.09378849891015398,0.07489244763990084,0.07489244763990083
378,5.90625,0.010128335686347795,0.00842855998984059,0.008428559989840588
412,6.4375,0.027216103307735946,0.022994525881973163,0.02299452588197316
512,8.0,0.00023539289258173832,0.00023539289258173832,0.00023539289258173827
583,9.109375,0.026704889109483067,0.02374879447379055,0.02374879447379054
664,10.375,0.037002726949789795,0.03344606453922975,0.03344606453922974
693,10.828125,0.0008684230310847423,0.0007873131468490595,0.0007873131468490593
861,13.453125,0.003999667607903794,0.0037005782364101262,0.0037005782364101254
939,14.671875,0.004779361831006219,0.004478810302899005,0.004478810302899004
1166,18.21875,0.006257132317869205,0.005909389869230453,0.005909389869230452
1272,19.875,0.017783877741933025,0.01679171613619049,0.016791716136190488
1512,23.625,0.00398325315372354,0.003817279207350088,0.003817279207350087
1579,24.671875,0.00022638193296179728,0.0002175218330292991,0.00021752183302929906
2048,32.0,0.002098481519114788,0.002098481519114788,0.0020984815191147877
2139,33.421875,0.0016941307619540882,0.0016430245529028304,0.00164302455290283
2435,38.046875,0.0005176052404031751,0.0005046845582899538,0.0005046845582899537
2656,41.5,0.011117293683323376,0.010844518288993786,0.010844518288993785
8192,128.0,0.005785684775170361,0.005785684775170361,0.00578568477517036
