k,prime_factor_q,observed_count,observed_fraction_of_1000,q_mod_8,theoretical_admissibility,root_classes_mod_q,expected_fraction_among_primes_excluding_p_eq_q,expected_count_for_999_candidates,observed_minus_expected,observed_to_expected_ratio
1,2,999,0.999000,2,forced_even_for_odd_p,1,0.999000000,999,0,1.000000
1,5,508,0.508000,5,q ≡ 1 (mod 4),2,0.500000000,499.500000,8.500000,1.017017
1,13,166,0.166000,5,q ≡ 1 (mod 4),2,0.166666667,166.500000,-0.500000,0.996997
1,17,125,0.125000,1,q ≡ 1 (mod 4),2,0.125000000,124.875000,0.125000,1.001001
1,29,72,0.072000,5,q ≡ 1 (mod 4),2,0.071428571,71.357143,0.642857,1.009009
1,37,52,0.052000,5,q ≡ 1 (mod 4),2,0.055555556,55.500000,-3.500000,0.936937
1,41,48,0.048000,1,q ≡ 1 (mod 4),2,0.050000000,49.950000,-1.950000,0.960961
1,53,37,0.037000,5,q ≡ 1 (mod 4),2,0.038461538,38.423077,-1.423077,0.962963
1,61,35,0.035000,5,q ≡ 1 (mod 4),2,0.033333333,33.300000,1.700000,1.051051
1,73,25,0.025000,1,q ≡ 1 (mod 4),2,0.027777778,27.750000,-2.750000,0.900901
1,89,24,0.024000,1,q ≡ 1 (mod 4),2,0.022727273,22.704545,1.295455,1.057057
1,97,23,0.023000,1,q ≡ 1 (mod 4),2,0.020833333,20.812500,2.187500,1.105105
1,113,18,0.018000,1,q ≡ 1 (mod 4),2,0.017857143,17.839286,0.160714,1.009009
1,101,17,0.017000,5,q ≡ 1 (mod 4),2,0.020000000,19.980000,-2.980000,0.850851
1,109,16,0.016000,5,q ≡ 1 (mod 4),2,0.018518519,18.500000,-2.500000,0.864865
2,3,999,0.999000,3,q ≡ 1 or 3 (mod 8),2,1.000000000,999.000000,0.000000,1.000000
2,11,201,0.201000,3,q ≡ 1 or 3 (mod 8),2,0.200000000,199.800000,1.200000,1.006006
2,17,125,0.125000,1,q ≡ 1 or 3 (mod 8),2,0.125000000,124.875000,0.125000,1.001001
2,19,110,0.110000,3,q ≡ 1 or 3 (mod 8),2,0.111111111,111.000000,-1.000000,0.990991
2,41,50,0.050000,1,q ≡ 1 or 3 (mod 8),2,0.050000000,49.950000,0.050000,1.001001
2,43,50,0.050000,3,q ≡ 1 or 3 (mod 8),2,0.047619048,47.571429,2.428571,1.051051
2,59,37,0.037000,3,q ≡ 1 or 3 (mod 8),2,0.034482759,34.448276,2.551724,1.074074
2,67,29,0.029000,3,q ≡ 1 or 3 (mod 8),2,0.030303030,30.272727,-1.272727,0.957958
2,73,27,0.027000,1,q ≡ 1 or 3 (mod 8),2,0.027777778,27.750000,-0.750000,0.972973
2,83,25,0.025000,3,q ≡ 1 or 3 (mod 8),2,0.024390244,24.365854,0.634146,1.026026
2,97,20,0.020000,1,q ≡ 1 or 3 (mod 8),2,0.020833333,20.812500,-0.812500,0.960961
2,89,19,0.019000,1,q ≡ 1 or 3 (mod 8),2,0.022727273,22.704545,-3.704545,0.836837
2,139,18,0.018000,3,q ≡ 1 or 3 (mod 8),2,0.014492754,14.478261,3.521739,1.243243
2,113,16,0.016000,1,q ≡ 1 or 3 (mod 8),2,0.017857143,17.839286,-1.839286,0.896897
2,137,16,0.016000,1,q ≡ 1 or 3 (mod 8),2,0.014705882,14.691176,1.308824,1.089089
2,107,15,0.015000,3,q ≡ 1 or 3 (mod 8),2,0.018867925,18.849057,-3.849057,0.795796
2,131,15,0.015000,3,q ≡ 1 or 3 (mod 8),2,0.015384615,15.369231,-0.369231,0.975976
2,163,15,0.015000,3,q ≡ 1 or 3 (mod 8),2,0.012345679,12.333333,2.666667,1.216216
2,241,11,0.011000,1,q ≡ 1 or 3 (mod 8),2,0.008333333,8.325000,2.675000,1.321321
