المكون_الأولي,عدد_مرات_التكرار,النسبة_من_1000
3,999,0.999
11,201,0.201
17,125,0.125
19,110,0.110
41,50,0.050
43,50,0.050
59,37,0.037
67,29,0.029
73,27,0.027
83,25,0.025
97,20,0.020
89,19,0.019
139,18,0.018
113,16,0.016
137,16,0.016
107,15,0.015
131,15,0.015
163,15,0.015
241,11,0.011
179,10,0.010
193,10,0.010
211,10,0.010
233,9,0.009
347,9,0.009
257,8,0.008
283,8,0.008
227,7,0.007
281,7,0.007
313,7,0.007
353,7,0.007
433,7,0.007
379,6,0.006
401,6,0.006
419,6,0.006
491,6,0.006
547,6,0.006
251,5,0.005
337,5,0.005
449,5,0.005
457,5,0.005
523,5,0.005
571,5,0.005
619,5,0.005
331,4,0.004
409,4,0.004
443,4,0.004
499,4,0.004
521,4,0.004
569,4,0.004
577,4,0.004
587,4,0.004
593,4,0.004
683,4,0.004
859,4,0.004
307,3,0.003
467,3,0.003
601,3,0.003
617,3,0.003
691,3,0.003
739,3,0.003
787,3,0.003
809,3,0.003
811,3,0.003
857,3,0.003
881,3,0.003
937,3,0.003
971,3,0.003
977,3,0.003
1049,3,0.003
1051,3,0.003
1129,3,0.003
1153,3,0.003
1249,3,0.003
1451,3,0.003
1531,3,0.003
563,2,0.002
641,2,0.002
643,2,0.002
659,2,0.002
673,2,0.002
769,2,0.002
827,2,0.002
883,2,0.002
907,2,0.002
929,2,0.002
947,2,0.002
953,2,0.002
1123,2,0.002
1163,2,0.002
1171,2,0.002
1187,2,0.002
1283,2,0.002
1361,2,0.002
1409,2,0.002
1523,2,0.002
1553,2,0.002
1571,2,0.002
1579,2,0.002
1601,2,0.002
1657,2,0.002
1667,2,0.002
1723,2,0.002
1801,2,0.002
1867,2,0.002
1907,2,0.002
1987,2,0.002
2081,2,0.002
2089,2,0.002
2099,2,0.002
2131,2,0.002
2203,2,0.002
2377,2,0.002
2411,2,0.002
2473,2,0.002
2617,2,0.002
2713,2,0.002
2843,2,0.002
3259,2,0.002
3371,2,0.002
3457,2,0.002
4201,2,0.002
4297,2,0.002
4441,2,0.002
2,1,0.001
761,1,0.001
1009,1,0.001
