lag,Delta_normalized,observed_rho,short_interval_theory_rho,structural_random_sieve_rho,pairkernel_point_model_rho_mean,pairkernel_point_model_rho_sd,observed_z_vs_pairkernel,two_sided_p_observed_rho
1,1.0,-0.12369109862039233,-0.10875264548135335,-0.10678846437463489,-0.10728678773252384,0.043889730948119404,-0.3737619377812884,0.7065733566608348
2,0.3774437510817344,-0.08177720152201445,-0.0443832998992698,-0.036003240243330605,-0.037544156636438224,0.04736704725264702,-0.9338358088830279,0.3631592101974506
3,0.24511249783653122,-0.04363815013726117,-0.027538929061948242,-0.02860734618950401,-0.028262386631673672,0.05008919212419972,-0.30696768810848846,0.7630592351912022
4,0.1822639883001403,0.035877564646000504,-0.020648510247937374,-0.01845923345315118,-0.019600586298546198,0.05317375177230962,1.0433371559355928,0.2994251437140715
5,0.14524702772665748,-0.0042601229316344726,-0.01605180729282813,-0.006689280140658389,-0.007576370145032377,0.04580042248172959,0.07240647648437744,0.9432641839540115
6,0.12078746009308156,0.014550264572407354,-0.013194974334653,-0.017777406892923554,-0.017152793552159463,0.04751575821668669,0.6672114539347342,0.5228692826793302
7,0.10340304776024027,0.029002523389573237,-0.011255651258498162,-0.008406681825186432,-0.008652607722696997,0.04607481157461912,0.8172606642413928,0.4251437140714821
8,0.09040473369202179,0.0051605476675883125,-0.00999104629324476,0.0015348328968321384,-0.0007896497024187394,0.048190673763915254,0.12347196885349436,0.9000249937515621
9,0.08031546145600185,-0.011692064974248326,-0.008733948844121337,-0.009767598172029966,-0.009440843858239395,0.05079125352282857,-0.04432300760202936,0.9630092476880779
10,0.07225546012191131,-0.012812958292363601,-0.0078939293702176,-0.003227385951901153,-0.004281162239721556,0.04799945235836226,-0.17774777905680983,0.8532866783304174
11,0.0656676737534841,0.042344838227129124,-0.007014592696817901,-0.003879502550023206,-0.005428158734587151,0.049328366234418816,0.968469069798276,0.3176705823544114
12,0.060182061768357144,-0.03326530141344774,-0.006553835321953016,-0.007382828965136276,-0.006900459586699907,0.04804370089932186,-0.5487679203148143,0.5783554111472132
13,0.05554312289596472,-0.04339274606172354,-0.006010606004248045,0.0019403436041676987,-0.00011100145005979568,0.04856686717004293,-0.891178433645414,0.3806548362909273
14,0.051568726174536623,-0.005823272116838061,-0.005599352235531022,-0.004211249361785904,-0.004265478050349215,0.046625056156069634,-0.03341109255234758,0.976005998500375
15,0.04812552027544769,-0.0027333011255363747,-0.005144526846951645,-0.006808657697143512,-0.007122386944897578,0.049787032072829064,0.0881572095508886,0.9252686828292926
16,0.045113617691778705,-0.024456589875628428,-0.004910842391648598,0.002463892336997784,0.000839676084568995,0.049085852433659746,-0.515347390460127,0.6165958510372407
17,0.04245671172503334,-0.05078505460074586,-0.00458389603315348,-0.0033083087394620825,-0.0032036491489845706,0.046997342324023174,-1.0124275777917673,0.31967008247938017
18,0.04009550238032558,0.08879028727041824,-0.004283341058127812,-0.01012445871608739,-0.009899439055868623,0.049196490458653826,2.0060318410157447,0.04473881529617595
19,0.03798320642631407,0.0016214324964288207,-0.004091562808043339,-0.00029951261555738966,-0.0006849105780293035,0.05127717311181301,0.04497796845058136,0.9647588102974256
20,0.03608241914379952,-0.12050326800350657,-0.0038810542221540223,-0.006193668421587139,-0.005827127807403163,0.047965236627206996,-2.390817772616938,0.019245188702824295
