n,p_n,p_next,prime_gap,p_n_squared,p_next_squared,interval_length,observed_prime_count,cramer_expected_count,global_density_scale_alpha,calibrated_expected_count,residual_observed_minus_expected,standardized_residual_z
1,2,3,1,4,9,5,2,2.7536526577885105,0.9998315688500613,2.7531888569048273,-0.7531888569048273,-0.45392686294591417
2,3,5,2,9,25,16,5,5.791718703488903,0.9998315688500613,5.7907431976475525,-0.7907431976475525,-0.3286005694804009
3,5,7,2,25,49,24,6,6.699457592633275,0.9998315688500613,6.698329195286982,-0.6983291952869823,-0.26982175041607864
4,7,11,4,49,121,72,15,16.379092220064344,0.9998315688500613,16.376333470726767,-1.3763334707267667,-0.340106815422045
5,11,13,2,121,169,48,9,9.657433754117953,0.9998315688500613,9.65580714144529,-0.6558071414452904,-0.21104829608551046
6,13,17,4,169,289,120,22,22.149826620673778,0.9998315688500613,22.146095899905117,-0.1460958999051165,-0.031044840991590238
7,17,19,2,289,361,72,11,12.45446230007795,0.9998315688500613,12.45236458067088,-1.4523645806708796,-0.4115757093220658
8,19,23,4,361,529,168,27,27.58583075446556,0.9998315688500613,27.581184441269574,-0.5811844412695741,-0.11066429538511133
9,23,29,6,529,841,312,47,47.86810846802496,0.9998315688500613,47.8600459874703,-0.8600459874703006,-0.12431831588863566
10,29,31,2,841,961,120,16,17.640450481834364,0.9998315688500613,17.63747928047427,-1.6374792804742704,-0.38990387838484053
11,31,37,6,961,1369,408,57,57.84078978469947,0.9998315688500613,57.831047593962666,-0.8310475939626656,-0.10928117771466192
12,37,41,4,1369,1681,312,44,42.57919950082203,0.9998315688500613,42.57202783728663,1.4279721627133668,0.21885555407674598
13,41,43,2,1681,1849,168,20,22.473632324082985,0.9998315688500613,22.46984706434734,-2.4698470643473414,-0.521038726693976
14,43,47,4,1849,2209,360,46,47.28357458597236,0.9998315688500613,47.275610559131636,-1.2756105591316356,-0.18552375777788935
15,47,53,6,2209,2809,600,80,76.68091418876526,0.9998315688500613,76.66799873421009,3.3320012657899127,0.38053805510850325
16,53,59,6,2809,3481,672,78,83.46597499141359,0.9998315688500613,83.45191672126504,-5.451916721265036,-0.5968030793420721
17,59,61,2,3481,3721,240,32,29.308550873972706,0.9998315688500613,29.303614401045966,2.696385598954034,0.49810557608024764
18,61,67,6,3721,4489,768,90,92.32826084087094,0.9998315688500613,92.31270988572567,-2.312709885725667,-0.2407079347840335
19,67,71,4,4489,5041,552,66,65.18380748821482,0.9998315688500613,65.1728285045622,0.8271714954377956,0.10246186938782333
20,71,73,2,5041,5329,288,30,33.67095295613581,0.9998315688500613,33.66528171880987,-3.6652817188098723,-0.6317077924929342
21,73,79,6,5329,6241,912,106,105.29054656980713,0.9998315688500613,105.27281236197071,0.7271876380292923,0.07087423345252875
22,79,83,4,6241,6889,648,75,73.7284483611071,0.9998315688500613,73.71603019376644,1.2839698062335572,0.14954566950151527
23,83,89,6,6889,7921,1032,114,115.83898114340309,0.9998315688500613,115.81947025060138,-1.819470250601384,-0.16906518027390965
24,89,97,8,7921,9409,1488,163,164.13797771092857,0.9998315688500613,164.11033176259411,-1.1103317625941145,-0.08667319415904032
25,97,101,4,9409,10201,792,89,86.17766286696474,0.9998315688500613,86.16314786410902,2.836852135890979,0.3056158832500339
26,101,103,2,10201,10609,408,42,44.10828067377906,0.9998315688500613,44.10085146534336,-2.1008514653433608,-0.3163529296341388
27,103,107,4,10609,11449,840,87,90.24505073470664,0.9998315688500613,90.22985065703512,-3.229850657035115,-0.34002223873028964
28,107,109,2,11449,11881,432,42,46.1327570509427,0.9998315688500613,46.124986857622766,-4.1249868576227655,-0.6073715448303584
29,109,113,4,11881,12769,888,100,94.27629636992742,0.9998315688500613,94.26041730491788,5.73958269508212,0.5911744261305083
30,113,127,14,12769,16129,3360,354,350.8902278320045,0.9998315688500613,350.8311269874285,3.1688730125715097,0.1691826318263648
31,127,131,4,16129,17161,1032,99,106.17642284997851,0.9998315688500613,106.15853943298151,-7.158539432981513,-0.6947794335927037
32,131,137,6,17161,18769,1608,165,164.15234447267744,0.9998315688500613,164.12469610453277,0.8753038954672263,0.06832378128727719
33,137,139,2,18769,19321,552,49,56.01491751678486,0.9998315688500613,56.00548285981379,-7.005482859813789,-0.936101199779774
34,139,149,10,19321,22201,2880,299,289.74231334017486,0.9998315688500613,289.6935117091531,9.306488290846914,0.546784822545795
35,149,151,2,22201,22801,600,58,59.87259417474843,0.9998315688500613,59.86250976486176,-1.8625097648617626,-0.24072494598066768
36,151,157,6,22801,24649,1848,182,183.44286257316435,0.9998315688500613,183.4119650808731,-1.4119650808731024,-0.10425817641717171
37,157,163,6,24649,26569,1920,186,189.15475980211158,0.9998315688500613,189.12290024840175,-3.1229002484017485,-0.22708374746864673
38,163,167,4,26569,27889,1320,128,129.26069773157815,0.9998315688500613,129.23892620361735,-1.2389262036173534,-0.10898049294675122
39,167,173,6,27889,29929,2040,198,198.60469958738258,0.9998315688500613,198.57124836944786,-0.5712483694478578,-0.040538417431738125
40,173,179,6,29929,32041,2112,195,204.23502640906509,0.9998315688500613,204.20062686870924,-9.200626868709236,-0.6438562010124599
41,179,181,2,32041,32761,720,76,69.324623922505,0.9998315688500613,69.31294749637867,6.687052503621331,0.803207119619904
42,181,191,10,32761,36481,3720,356,355.9249332571603,0.9998315688500613,355.86498441135996,0.13501558864004437,0.00715716921925443
43,191,193,2,36481,37249,768,77,73.03854178232086,0.9998315688500613,73.02623981673862,3.9737601832613763,0.4650098842445003
44,193,197,4,37249,38809,1560,144,147.92309036628149,0.9998315688500613,147.8981755100686,-3.8981755100685973,-0.32053833778797863
45,197,199,2,38809,39601,792,75,74.88271672960764,0.9998315688500613,74.87010414751833,0.1298958524816669,0.01501208676515637
46,199,211,12,39601,44521,4920,463,462.1368012082403,0.9998315688500613,462.0589629753838,0.9410370246162074,0.043778211121639446
47,211,223,12,44521,49729,5208,479,484.0169019038858,0.9998315688500613,483.9353783805084,-4.935378380508382,-0.22435035858453545
48,223,227,4,49729,51529,1800,168,166.17096304448205,0.9998315688500613,166.14297467809004,1.8570253219099584,0.144071087611721
49,227,229,2,51529,52441,912,82,83.98799064936975,0.9998315688500613,83.97384445552363,-1.9738444555236327,-0.21539762375464538
50,229,233,4,52441,54289,1848,166,169.77724009632584,0.9998315688500613,169.748644320543,-3.748644320543008,-0.2877206801831618
51,233,239,6,54289,57121,2832,270,259.1579729458708,0.9998315688500613,259.1143226704718,10.885677329528221,0.6762538446518739
52,239,241,2,57121,58081,960,90,87.58100027630098,0.9998315688500613,87.56624890771167,2.4337510922883325,0.2600804969795498
53,241,251,10,58081,63001,4920,438,446.8360158922105,0.9998315688500613,446.7607547882198,-8.7607547882198,-0.4144804174560104
54,251,257,6,63001,66049,3048,275,275.22194591977313,0.9998315688500613,275.1755899709335,-0.17558997093351536,-0.010585094846285031
55,257,263,6,66049,69169,3120,274,280.5404296374081,0.9998315688500613,280.49317789024,-6.49317789024002,-0.3877003113155559
56,263,269,6,69169,72361,3192,292,285.8417060763504,0.9998315688500613,285.7935614290955,6.206438570904481,0.36712692863931473
57,269,271,2,72361,73441,1080,91,96.45572666967837,0.9998315688500613,96.43948052071723,-5.439480520717225,-0.5538982520958999
58,271,277,6,73441,76729,3288,292,292.8841462439832,0.9998315688500613,292.8348154304325,-0.8348154304325135,-0.04878419165734449
59,277,281,4,76729,78961,2232,199,198.18095087510756,0.9998315688500613,198.14757102965572,0.8524289703442776,0.06055692645527576
60,281,283,2,78961,80089,1128,99,99.96617414429511,0.9998315688500613,99.94933672662901,-0.9493367266290136,-0.09495773005753626
61,283,293,10,80089,85849,5760,512,508.5649960638184,0.9998315688500613,508.4793378767128,3.5206621232871953,0.15613047931410828
62,293,307,14,85849,94249,8400,735,736.3458594603799,0.9998315688500613,736.2218358805184,-1.2218358805183698,-0.04503068230077007
63,307,311,4,94249,96721,2472,220,215.58092570294866,0.9998315688500613,215.54461515972767,4.45538484027233,0.3034706074678583
64,311,313,2,96721,97969,1248,107,108.65393215847507,0.9998315688500613,108.63563145173626,-1.6356314517362591,-0.15692759049163885
65,313,317,4,97969,100489,2520,215,219.03226940733657,0.9998315688500613,218.99537755032662,-3.995377550326623,-0.26998544447408834
66,317,331,14,100489,109561,9072,784,784.6672423056298,0.9998315688500613,784.535079899689,-0.5350798996889807,-0.019103478468593442
67,331,337,6,109561,113569,4008,341,344.8542999222318,0.9998315688500613,344.7962157159346,-3.7962157159345793,-0.20444177243515452
68,337,347,10,113569,120409,6840,579,586.1349117518894,0.9998315688500613,586.0361883746838,-7.036188374683775,-0.29065328815462615
69,347,349,2,120409,121801,1392,125,118.92956449593112,0.9998315688500613,118.90953305262136,6.090466947378644,0.558524532611981
70,349,353,4,121801,124609,2808,241,239.5581569650276,0.9998315688500613,239.51780790917277,1.4821920908272261,0.09577134515263865
71,353,359,6,124609,128881,4272,363,363.57827174066915,0.9998315688500613,363.5170338342671,-0.5170338342671243,-0.027117932843370218
72,359,367,8,128881,134689,5808,489,492.6696552898884,0.9998315688500613,492.586674373308,-3.5866743733080284,-0.16160344709381566
73,367,373,6,134689,139129,4440,381,375.4115412942465,0.9998315688500613,375.34831029664605,5.651689703353952,0.29171655559106613
74,373,379,6,139129,143641,4512,380,380.4643576887738,0.9998315688500613,380.40027563949764,-0.4002756394976359,-0.020522900924387695
75,379,383,4,143641,146689,3048,252,256.4446689868655,0.9998315688500613,256.4014757163724,-4.401475716372374,-0.2748767769649675
