n,p_n,p_next,prime_gap,p_n_squared,p_next_squared,interval_length,observed_prime_count,cramer_expected_count,global_density_scale_alpha,calibrated_expected_count,residual_observed_minus_expected,standardized_residual_z
996,7879,7883,4,62078641,62141689,63048,3600,3513.5155881755054,0.9998315688500613,3512.9238027046613,87.07619729533872,1.469146449204488
872,6779,6781,2,45954841,45981961,27120,1480,1537.1130533283576,0.9998315688500613,1536.8541556091998,-56.85415560919978,-1.4502600574160331
582,4243,4253,10,18003049,18088009,84960,4982,5084.86521630222,0.9998315688500613,5084.008766606555,-102.00876660655467,-1.4306531358912635
109,599,601,2,358801,361201,2400,168,187.58998534979037,0.9998315688500613,187.55838935284092,-19.55838935284092,-1.4281204568336379
664,4967,4969,2,24671089,24690961,19872,1216,1167.4615729246289,0.9998315688500613,1167.264936029392,48.73506397060805,1.4264508777453124
845,6547,6551,4,42863209,42915601,52392,2904,2981.1993058286607,0.9998315688500613,2980.6971790013836,-76.69717900138357,-1.4048192904867278
495,3539,3541,2,12524521,12538681,14160,825,866.3854894123506,0.9998315688500613,866.2395631080786,-41.23956310807864,-1.401183608617554
840,6473,6481,8,41899729,42003361,103632,5796,5904.275821866002,0.9998315688500613,5903.28135789977,-107.28135789977023,-1.396296085663427
384,2657,2659,2,7059649,7070281,10632,638,674.1633515632711,0.9998315688500613,674.0498014547209,-36.049801454720864,-1.3885351706826101
625,4637,4639,2,21501769,21520321,18552,1055,1098.7867413675413,0.9998315688500613,1098.6016714531554,-43.601671453155404,-1.3154762462707037
284,1861,1867,6,3463321,3485689,22368,1436,1485.1642307230795,0.9998315688500613,1484.914082803851,-48.91408280385099,-1.2693554481359677
360,2423,2437,14,5870929,5938969,68040,4447,4363.973578630306,0.9998315688500613,4363.238549542156,83.76145045784415,1.2680597288048836
832,6379,6389,10,40691641,40819321,127680,7393,7286.381794464309,0.9998315688500613,7285.154540799775,107.84545920022538,1.2635210440215519
715,5417,5419,2,29343889,29365561,21672,1304,1260.3690203679726,0.9998315688500613,1260.156734964525,43.84326503547504,1.2350672518313832
882,6857,6863,6,47018449,47100769,82320,4577,4659.554377084598,0.9998315688500613,4658.769562982664,-81.76956298266396,-1.197997914293465
