prime_wheel_p,primorial_through_p,newly_marked_fraction,newly_marked_percent,cumulative_marked_fraction,cumulative_marked_percent,remaining_unmarked_fraction,remaining_unmarked_percent
2,2,1/2,50.000000,1/2,50.000000,1/2,50.000000
3,6,1/6,16.666667,2/3,66.666667,1/3,33.333333
5,30,1/15,6.666667,11/15,73.333333,4/15,26.666667
7,210,4/105,3.809524,27/35,77.142857,8/35,22.857143
11,2310,8/385,2.077922,61/77,79.220779,16/77,20.779221
13,30030,16/1001,1.598402,809/1001,80.819181,192/1001,19.180819
17,510510,192/17017,1.128283,13945/17017,81.947464,3072/17017,18.052536
19,9699690,3072/323323,0.950133,268027/323323,82.897598,55296/323323,17.102402
23,223092870,55296/7436429,0.743583,565447/676039,83.641180,110592/676039,16.358820
29,6469693230,110592/196154731,0.564097,2358365/2800733,84.205278,442368/2800733,15.794722
31,200560490130,442368/86822723,0.509507,73551683/86822723,84.714785,13271040/86822723,15.285215
37,7420738134810,13271040/3212440751,0.413114,2734683311/3212440751,85.127899,477757440/3212440751,14.872101
41,304250263527210,477757440/131710070791,0.362734,112599773191/131710070791,85.490633,19110297600/131710070791,14.509367
43,13082761331670030,19110297600/5663533044013,0.337427,4860900544813/5663533044013,85.828060,802632499200/5663533044013,14.171940
47,614889782588491410,802632499200/266186053068611,0.301531,9968041656757/11573306655157,86.129591,1605264998400/11573306655157,13.870409
