panel_id,target_X,offset_primes,p_center,median_X,median_H,X_over_H,cell,kernel_rmse,shape_rmse_vs_Delta,L_over_H_lt_2,L_over_H_2_4,L_over_H_4_8,L_over_H_ge_8,L_over_H_lt_4
X2e+07_off-128,20000000.0,-128,3413,11672569.0,44544.0,262.04581986350576,696,0.0020046968030302,0.0181768102429888,0.8161760342371566,0.007126498405438,0.1242041999623477,0.0524932673950575,0.8233025326425946
X2e+07_off+0,20000000.0,0,4481,20043595.0,56412.0,355.307292774587,881,0.0020800753931897,0.0192624522700532,0.7535883858126728,0.1292881995342983,0.0529988567542662,0.0641245578987626,0.8828765853469711
X2e+07_off+128,20000000.0,128,5573,31069495.0,70020.0,443.7231505284204,1094,0.0006326209028373,0.0090004877541515,0.7882275171593478,0.0,0.1611900038674944,0.0505824789731577,0.7882275171593478
X2e+08_off-128,200000000.0,-128,12907,166564855.0,161556.0,1031.0038314887718,2524,4.4971302104254136e-05,0.005878904523827,0.7540372228457534,0.0,0.1660439790373087,0.079918798116938,0.7540372228457534
X2e+08_off+0,200000000.0,0,14143,199812637.0,219264.0,911.2879314433742,3426,0.0001422091205184,0.0080736150145795,0.7285909609865997,0.1521427563228094,0.0591637530531728,0.0601025296374178,0.8807337173094091
X2e+08_off+128,200000000.0,128,15331,235162291.0,237840.0,988.7415531449714,3716,2.681129218109256e-05,0.0050996028916374,0.7093442335383408,0.1489749462675713,0.0755936793059399,0.0660871408881478,0.858319179805912
X2e+09_off-128,2000000000.0,-128,43321,1876882351.0,701952.0,2673.80440685403,10968,3.232432090935299e-05,0.0067551192608257,0.7217929404629295,0.1428378426892483,0.0706898905686631,0.0646793262791589,0.8646307831521778
X2e+09_off+0,2000000000.0,0,44729,2000549371.0,720192.0,2777.800046376522,11253,1.5954556895903822e-05,0.0055691774361129,0.7284138928343838,0.0471412267068311,0.1495988515860721,0.0748460288727129,0.7755551195412149
X2e+09_off+128,2000000000.0,128,46181,2132500063.0,827364.0,2577.4629582626267,12928,1.6733165683446913e-05,0.0068432899746538,0.7276881991072358,0.137029484603497,0.0616775234354133,0.0736047928538538,0.8647176837107329
X2e+10_off-128,20000000000.0,-128,139943,19585442827.0,2790480.0,7018.664468836902,43601,3.65300102648091e-05,0.0076151390548859,0.741704247041654,0.1352017873885179,0.0605506798360734,0.0625432857337544,0.876906034430172
X2e+10_off+0,20000000000.0,0,141413,19998768067.0,2824320.0,7080.914367706209,44130,5.471663429275284e-05,0.0078605795795619,0.7605584508747292,0.1329600439046604,0.0564108065901656,0.0500706986304448,0.8935184947793896
X2e+10_off+128,20000000000.0,128,142949,20434702573.0,2857380.0,7151.552321707299,44647,2.3415954675532355e-05,0.0067490516037389,0.6781911786745822,0.1799687969860644,0.0937895183872662,0.0480505059520872,0.8581599756606466
X2e+11_off-128,200000000000.0,-128,445321,198311683813.0,8907600.0,22263.20039213705,139181,3.63127367175698e-05,0.0082788226536453,0.731457325567722,0.1346779885418687,0.0612428266389177,0.0726218592514913,0.8661353141095907
X2e+11_off+0,200000000000.0,0,447211,199995889735.0,10725120.0,18647.426763989588,167580,1.641868275130732e-05,0.0083738703683299,0.7286531461903955,0.0753730008063194,0.1458025274038073,0.0501713255994778,0.8040261469967148
X2e+11_off+128,200000000000.0,128,449003,201604592035.0,8965740.0,22486.10734139067,140090,1.232867315901351e-05,0.0045910489817006,0.7067359796500748,0.163592708238776,0.0475312686757577,0.0821400434353912,0.8703286878888509
X2e+12_off-128,2000000000000.0,-128,1412381,1994815852135.0,28256700.0,70596.20734675316,441511,8.178367188271713e-06,0.0067354650981143,0.6778098631353378,0.1519625986676041,0.0724529442075094,0.0977745939895487,0.8297724618029418
X2e+12_off+0,2000000000000.0,0,1414211,2000011137493.0,33950952.0,58908.83818200444,530484,1.997070822751361e-05,0.0080633668402423,0.7184899880009084,0.0903963547263461,0.1192411288202971,0.0718725284524483,0.8088863427272545
X2e+12_off+128,2000000000000.0,128,1416199,2005625272423.0,33993480.0,59000.292774467336,531148,1.1472467361121535e-05,0.0062339127795032,0.7572579652300439,0.1085481228148961,0.0674503642352523,0.0667435477198077,0.86580608804494
