metric,value
X_min,11672569.0
X_max,2005625272423.0
orders_of_magnitude_X,5.235083343576292
number_of_panels,18.0
panels_per_target,3.0
mean_fraction_L_over_H_lt_4,0.8425522159974785
sd_fraction_L_over_H_lt_4,0.041036028202233156
mean_fraction_L_over_H_ge_8,0.06602373942664769
sd_fraction_L_over_H_ge_8,0.013234149176218816
rho1_log_mean,-0.6523229720062926
rho1_log_sd,0.011124566032367935
minus_log_2,-0.6931471805599453
universal_fine_spectrum_transfer_mean_RMSE,0.02595498928147819
universal_fine_spectrum_transfer_min_RMSE,0.014437364739395428
