panel_id,median_X,median_H,X_over_H,rho1_theory,rho1_times_log_X_over_H,difference_from_minus_log2
X2e+07_off-128,11672569.0,44544.0,262.04581986350576,-0.11819768921971856,-0.6581861223165186,0.03496105824342666
X2e+07_off+0,20043595.0,56412.0,355.307292774587,-0.11295816682562704,-0.6634013966971186,0.02974578386282667
X2e+07_off+128,31069495.0,70020.0,443.72315052842043,-0.10979230136494036,-0.669206126748388,0.02394105381155731
X2e+08_off-128,166564855.0,161556.0,1031.0038314887718,-0.09792791729484634,-0.6794521130462013,0.013695067513743941
X2e+08_off+0,199812637.0,219264.0,911.2879314433742,-0.09507032929115544,-0.6478908804737363,0.045256300086208956
X2e+08_off+128,235162291.0,237840.0,988.7415531449714,-0.09591634428065386,-0.661480639642336,0.03166654091760923
X2e+09_off-128,1876882351.0,701952.0,2673.80440685403,-0.0831657964446913,-0.6562827239785218,0.036864456581423455
X2e+09_off+0,2000549371.0,720192.0,2777.800046376522,-0.08269212297123059,-0.6557001224943008,0.03744705806564452
X2e+09_off+128,2132500063.0,827364.0,2577.4629582626267,-0.08221258956743596,-0.6457437869495308,0.04740339361041446
X2e+10_off-128,19585442827.0,2790480.0,7018.664468836902,-0.07267122005185715,-0.643600177822129,0.049547002737816315
X2e+10_off+0,19998768067.0,2824320.0,7080.914367706209,-0.07182085368413023,-0.6367032390419948,0.05644394151795051
X2e+10_off+128,20434702573.0,2857380.0,7151.552321707299,-0.07287920692067598,-0.646809135751391,0.0463380448085543
X2e+11_off-128,198311683813.0,8907600.0,22263.200392137052,-0.06479155639566465,-0.6486082108159409,0.0445389697440044
X2e+11_off+0,199995889735.0,10725120.0,18647.426763989588,-0.0645992545587976,-0.6352344079830522,0.05791277257689309
X2e+11_off+128,201604592035.0,8965740.0,22486.10734139067,-0.06519980135338169,-0.653344581510189,0.03980259904975625
X2e+12_off-128,1994815852135.0,28256700.0,70596.20734675316,-0.05792783428454215,-0.6467487278496185,0.04639845271032683
X2e+12_off+0,2000011137493.0,33950952.0,58908.83818200444,-0.05883630982897275,-0.6462431070032192,0.0469040735567261
X2e+12_off+128,2005625272423.0,33993480.0,59000.292774467336,-0.05891310500066519,-0.6471779959890803,0.04596918457086496
